commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Gold,SPDR_Gold_ETF,0.8946825285220509,0.8625376464525869,-0.010042739698991594,0.05033588488601316,-0.04481195997771088,-0.0083500132324235,-0.038359753609728015
Silver,SPDR_Gold_ETF,0.6975182688137052,0.6817052096282971,-0.01629317162543703,0.03004996927830411,-0.0536675779339778,-0.018223900760345368,-0.050934981811711216
Gold,Agnico,0.6286453442268927,0.6091003765740248,-0.012263520557902292,0.010693725338599894,-0.04527195459614133,0.042765479935947225,-0.03049263054133764
Silver,PanAmerican,0.6069892891551688,0.5875553746247066,-0.016737023083986575,-0.006310420924372301,-0.030150074890273326,0.029390703820181472,-0.028850505385107746
Gold,Wheaton,0.602946811191038,0.5773946149765713,-0.00233017585333273,0.017410854141961935,-0.0379059543411753,0.04566858611073662,-0.029220619738907685
Brent_Oil,ConocoPhillips,0.602188022061771,0.5615543397971946,-0.026548509515699096,0.03489353654063935,0.011289088284963488,0.03259415126837365,0.0257676798592499
Gold,PanAmerican,0.6003008931206374,0.5712918442885868,-0.01545144876461402,0.0028532687417844164,-0.03274532117529189,0.06154216281362785,-0.027452773983572067
Silver,FirstMajestic,0.5969863580610432,0.5970029482325907,-0.03893263377260314,-0.01380176626779873,-0.015395761218770104,0.033005993271384544,-0.014796948895981897
Gold,Kinross,0.5934868022612712,0.5684257912000846,-0.02134766974155478,0.003598392946571298,-0.0524971936954295,0.0279643991154493,-0.026591701172219453
Copper,SouthernCopper,0.59210707108861,0.5771831321321741,-0.0165733142647612,0.031898170368708324,-0.03285124823676499,0.012879771338813963,-0.025097084383038593
Gold,Newmont,0.5799882996179652,0.5498763828579479,0.008667913613289346,0.011329554475906686,-0.039604332703957315,0.05374233591112506,-0.03618795859091634
Copper,Freeport,0.5764342033790472,0.5652570860074868,-0.004963974187159962,0.02057655510656468,-0.047665819894924584,-0.003211706243949377,-0.0027814172000069077
Silver,Hecla,0.5754823438800751,0.5530346519135375,-0.04494050939401673,-0.013867783628224264,-0.018710417379647022,0.02682035458824804,-0.03471229839458655
Silver,Endeavour,0.5748219026200108,0.5693420682108227,-0.026855165659055817,-0.001961305921091685,-0.009383836460237174,0.035363324215678435,-0.008412652048634537
Silver,Wheaton,0.5735321968223334,0.5648241847600779,-0.011406795729680968,-0.006228520721252403,-0.028307194184965842,0.01518016878014437,-0.021113925697048442
WTI_Oil,ConocoPhillips,0.5642312521714229,0.5662073382969706,-0.03683271303542927,0.06019310598526681,0.009748164046131661,0.031613578299104404,0.027721623536237583
Gold,FirstMajestic,0.5592609585610869,0.5521934220900796,-0.03348766357842182,-0.0027909371654965456,-0.020695661192823695,0.06037166688184952,-0.008955046588482419
Silver,Fortuna,0.5484587606465997,0.5400315585224921,-0.03682326052527053,-0.023351527481209913,-0.03478885889832693,0.03754595954858443,-0.006793435831103897
Brent_Oil,Schlumberger,0.5457955871304898,0.49628535271799884,0.02199241660995095,0.057682657567428554,0.0033568594436057565,0.03688756493131531,-0.003949762044229574
Silver,Coeur,0.5423694043200712,0.5198699870372497,-0.058415516280452606,-0.03332594240115434,-0.026829172381577043,0.042435231401211394,-0.02877899721438808
Gold,Endeavour,0.5378494101106969,0.5247617358914967,-0.01264138421038053,-0.0014248097968027023,-0.01390156857789048,0.06518659322953088,-0.006780542818867673
Silver,MAGSilver,0.5349135206673089,0.529109233321759,-0.04807539422203562,-0.029769729408647548,-0.024112261848716673,0.020759326383528377,-0.020070306282694784
Silver,Agnico,0.529192250245523,0.533295170968941,-0.03420252161296853,-0.002369464675389886,-0.04471357429513127,0.01860074114585203,-0.03403635686201605
Gold,Fortuna,0.5290864454296837,0.5118685269773398,-0.02893232521834964,-0.011885499953322198,-0.04635034897116412,0.07498796642016492,0.004224096174022005
Brent_Oil,Exxon,0.5237484087511722,0.4987928333371844,-0.0328131264910969,0.02831536307748453,0.009265138528869822,0.03383301149708632,0.015979726672001756
Gold,Hecla,0.5228938067000122,0.5028141882929451,-0.03464363791244565,-0.003193314418339997,-0.02316603908879174,0.052367549970597366,-0.03519758515025786
