commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Brent_Oil,PanAmerican,,,,,,,
Brent_Oil,Fortuna,,,,,,,
Brent_Oil,Newmont,,,,,,,
Brent_Oil,Barrick,,,,,,,
Brent_Oil,Agnico,,,,,,,
Brent_Oil,Kinross,,,,,,,
Brent_Oil,Freeport,,,,,,,
Brent_Oil,SouthernCopper,,,,,,,
Brent_Oil,BHP,,,,,,,
Brent_Oil,RioTinto,,,,,,,
Brent_Oil,Exxon,,,,,,,
Brent_Oil,Chevron,,,,,,,
Brent_Oil,ConocoPhillips,,,,,,,
Brent_Oil,Schlumberger,,,,,,,
Brent_Oil,Valero,,,,,,,
Brent_Oil,Marathon,,,,,,,
Brent_Oil,Phillips66,,,,,,,
Brent_Oil,HollyFrontier,,,,,,,
NatGas,Coeur,,,,,,,
NatGas,Hecla,,,,,,,
NatGas,FirstMajestic,,,,,,,
NatGas,Endeavour,,,,,,,
NatGas,Wheaton,,,,,,,
NatGas,MAGSilver,,,,,,,
NatGas,PanAmerican,,,,,,,
NatGas,Fortuna,,,,,,,
NatGas,Newmont,,,,,,,
NatGas,Barrick,,,,,,,
NatGas,Agnico,,,,,,,
NatGas,Kinross,,,,,,,
NatGas,Freeport,,,,,,,
NatGas,SouthernCopper,,,,,,,
NatGas,BHP,,,,,,,
NatGas,RioTinto,,,,,,,
NatGas,Exxon,,,,,,,
NatGas,Chevron,,,,,,,
NatGas,ConocoPhillips,,,,,,,
NatGas,Schlumberger,,,,,,,
NatGas,Valero,,,,,,,
NatGas,Marathon,,,,,,,
NatGas,Phillips66,,,,,,,
NatGas,HollyFrontier,,,,,,,
Gasoline,Coeur,,,,,,,
Gasoline,Hecla,,,,,,,
Gasoline,FirstMajestic,,,,,,,
Gasoline,Endeavour,,,,,,,
Gasoline,Wheaton,,,,,,,
Gasoline,MAGSilver,,,,,,,
Gasoline,PanAmerican,,,,,,,
Gasoline,Fortuna,,,,,,,
Gasoline,Newmont,,,,,,,
Gasoline,Barrick,,,,,,,
Gasoline,Agnico,,,,,,,
Gasoline,Kinross,,,,,,,
Gasoline,Freeport,,,,,,,
Gasoline,SouthernCopper,,,,,,,
Gasoline,BHP,,,,,,,
Gasoline,RioTinto,,,,,,,
Gasoline,Exxon,,,,,,,
Gasoline,Chevron,,,,,,,
Gasoline,ConocoPhillips,,,,,,,
Gasoline,Schlumberger,,,,,,,
Gasoline,Valero,,,,,,,
Gasoline,Marathon,,,,,,,
Gasoline,Phillips66,,,,,,,
Gasoline,HollyFrontier,,,,,,,
Wheat,Coeur,,,,,,,
Wheat,Hecla,,,,,,,
Wheat,FirstMajestic,,,,,,,
Wheat,Endeavour,,,,,,,
Wheat,Wheaton,,,,,,,
Wheat,MAGSilver,,,,,,,
Wheat,PanAmerican,,,,,,,
Wheat,Fortuna,,,,,,,
Wheat,Newmont,,,,,,,
Wheat,Barrick,,,,,,,
Wheat,Agnico,,,,,,,
Wheat,Kinross,,,,,,,
Wheat,Freeport,,,,,,,
Wheat,SouthernCopper,,,,,,,
Wheat,BHP,,,,,,,
Wheat,RioTinto,,,,,,,
Wheat,Exxon,,,,,,,
Wheat,Chevron,,,,,,,
Wheat,ConocoPhillips,,,,,,,
Wheat,Schlumberger,,,,,,,
Wheat,Valero,,,,,,,
Wheat,Marathon,,,,,,,
Wheat,Phillips66,,,,,,,
Wheat,HollyFrontier,,,,,,,
Corn,Coeur,,,,,,,
Corn,Hecla,,,,,,,
Corn,FirstMajestic,,,,,,,
Corn,Endeavour,,,,,,,
Corn,Wheaton,,,,,,,
Corn,MAGSilver,,,,,,,
Corn,PanAmerican,,,,,,,
Corn,Fortuna,,,,,,,
Corn,Newmont,,,,,,,
Corn,Barrick,,,,,,,
Corn,Agnico,,,,,,,
Corn,Kinross,,,,,,,
Corn,Freeport,,,,,,,
Corn,SouthernCopper,,,,,,,
Corn,BHP,,,,,,,
Corn,RioTinto,,,,,,,
Corn,Exxon,,,,,,,
Corn,Chevron,,,,,,,
Corn,ConocoPhillips,,,,,,,
Corn,Schlumberger,,,,,,,
Corn,Valero,,,,,,,
Corn,Marathon,,,,,,,
Corn,Phillips66,,,,,,,
Corn,HollyFrontier,,,,,,,
